_id,description
8uzq4,AI
8uzq4,演算法設計
8uzq4,生成式AI
8nwo9,系統架構規劃
8nwo9,韌體工程開發
8nwo9,韌體程式設計
8v203,軟體工程系統開發
8v203,軟體程式設計
8n88p,韌體程式設計
8n88p,伺服器網站管理維護
8ik9c,資料庫系統管理維護
8ik9c,軟體程式設計
8ik9c,軟體工程系統開發
8ik9c,系統整合分析
8ik9c,系統架構規劃
8ik9c,資訊設備環境設定
8ik9c,資料備份與復原
8ik9c,軟體程式設計
8ik9c,網路程式設計
8ik9c,軟體程式設計
77phe,資料庫系統管理維護
77phe,資料庫程式設計
6vazb,軟體程式設計
6vazb,軟體工程系統開發
8w0w8,軟體工程系統開發
8w0w8,軟體程式設計
8w0w8,資料庫程式設計
8n0gu,軟體程式設計
8n0gu,網路程式設計
8w1fo,資料庫程式設計
8w1fo,軟體程式設計
8w1fo,作業系統基本操作
8w1fo,電腦設備裝配
8tlno,系統架構規劃
695ve,軟體程式設計
695ve,網路程式設計
695ve,資料庫程式設計
77ymq,軟體程式設計
7wceb,軟體程式設計
7wceb,網路程式設計
7wceb,資料庫程式設計
7wceb,軟體程式設計
7wceb,軟體工程系統開發
7wceb,資料庫程式設計
7wceb,軟體工程系統開發
81xrd,軟體程式設計
7x79r,資料庫軟體應用
7x79r,軟體工程系統開發
7x79r,軟體程式設計
7x79r,系統架構規劃
8n0gm,系統整合分析
8n0gm,軟體工程系統開發
8n0gm,軟體程式設計
7olfm,資料庫系統管理維護
7olfm,資料庫程式設計
7olfm,資料庫軟體應用
8ca4p,機器學習
8ca4p,深度學習
7lngy,人工智慧
7lngy,語言模型
7lngy,生成式AI
7lngy,軟體工程系統開發
7lngy,系統整合分析
7lngy,軟體工程系統開發
7lngy,軟體程式設計
7lngy,資料庫程式設計
8qehr,功能測試(function test)
8qehr,使用者測試(Usability test)
8qehr,問題追蹤處理(Bug tracking)
8qehr,軟體整合測試
8qehr,壓力測試(stress test)
8qehr,測試計劃及測試報告書撰寫
8qehr,軟體程式設計
8u7tu,資料庫程式設計
8u7tu,系統整合分析
8u7tu,軟體工程系統開發
8u7tu,軟體程式設計
8he09,資料庫程式設計
8he09,軟體程式設計
8he09,軟體工程系統開發
8he09,資料庫程式設計
8he09,系統整合分析
8he09,結構化程式設計
839w9,模組化系統設計
839w9,系統架構規劃
79dy9,資料庫軟體應用
79dy9,軟體整合測試
79dy9,功能測試(function test)
79dy9,測試環境建置規劃
7ebh4,軟體工程系統開發
7ebh4,軟體程式設計
7ebh4,網路程式設計
7ebh4,資料庫系統管理維護
7ebh4,資料庫程式設計
7ebh4,軟體程式設計
7ebh4,軟體工程系統開發
7ebh4,軟體品質與保證
7ebh4,軟體程式設計
7ebh4,Machine Learning
7ebh4,資料庫軟體應用
87e35,軟體程式設計
87e35,AI
87e35,軟體程式設計
87e35,軟體工程系統開發
87e35,系統整合分析
8vznu,軟體程式設計
6det4,軟體程式設計
6det4,軟體整合測試
6det4,測試計劃及測試報告書撰寫
6det4,軟體程式設計
6det4,結構化程式設計
8i0ux,軟體工程系統開發
8i0ux,軟體程式設計
8o1vp,軟體程式設計
8o1vp,網路程式設計
8o1vp,軟體程式設計
8o1vp,Machine Learning
6vdrl,自然語言處理
6vdrl,機器學習
6vdrl,系統架構規劃
86b3c,AI
86b3c,深度學習
86b3c,模組化系統設計
8srbt,軟體工程系統開發
8srbt,資料庫軟體應用
8srbt,軟體程式設計
8srbt,網路程式設計
8srbt,軟體工程系統開發
8w28h,模組化系統設計
8w28h,系統架構規劃
8u9za,網路程式設計
8u9za,資料庫程式設計
8u9za,資料庫軟體應用
8i9lj,軟體程式設計
8vtso,軟體工程系統開發
8vtso,軟體程式設計
8o1vj,系統架構規劃
8o1vj,AI
8o1vj,軟體程式設計
8o1vj,資料庫程式設計
8o1vj,系統架構規劃
8o1vj,軟體工程系統開發
8o1vj,軟體程式設計
8o1vj,期貨交易與證券分析
77in7,軟體工程系統開發
77in7,軟體程式設計
8kzwi,系統架構規劃
8kzwi,軟體程式設計
8vkm5,系統架構規劃
8vkm5,軟體程式設計
8vkm5,資料庫程式設計
8vkm5,
8vkm5,
8cdue,
8cdue,
8cdue,
8cdue,
8cdue,
8qhwv,
8v85t,
8v85t,
8v85t,
8v85t,
8v85t,
8v85t,
8va6s,
8vdth,
8vdth,
8vdth,
80bmw,
80bmw,
8tgvu,
8tgvu,
8tgvu,
89a38,
89a38,
7evi2,
7evi2,
7evi2,
,軟體程式設計
,資料庫軟體應用
,資料庫程式設計
,資料庫程式設計
,資料庫軟體應用
,資料庫軟體應用
,軟體程式設計
,軟體工程系統開發
,軟體工程系統開發
,網路程式設計
,AI
,軟體工程系統開發
,軟體工程系統開發
,網路程式設計
,期貨交易與證券分析
,軟體工程系統開發
,資料庫程式設計
,軟體工程系統開發
,AI
,軟體程式設計
,軟體程式設計
,軟體工程系統開發
,結構化程式設計
,軟體工程系統開發
,軟體程式設計
,資料庫程式設計
,資料庫軟體應用
,資料庫系統管理維護
